item,participant,extraction,Correct ,structure
S1,1,subject,0,DemCL
S2,1,subject,1,DemCL
S3,1,subject,1,DemCL
S4,1,subject,1,DemCL
O1,1,object,1,DemCL
O2,1,object,1,DemCL
O3,1,object,1,DemCL
O4,1,object,0,DemCL
S1,2,subject,1,DemCL
S2,2,subject,1,DemCL
S3,2,subject,1,DemCL
S4,2,subject,1,DemCL
O1,2,object,0,DemCL
O2,2,object,1,DemCL
O3,2,object,0,DemCL
O4,2,object,1,DemCL
S1,3,subject,0,DemCL
S2,3,subject,0,DemCL
S3,3,subject,1,DemCL
S4,3,subject,0,DemCL
O1,3,object,1,DemCL
O2,3,object,1,DemCL
O3,3,object,1,DemCL
O4,3,object,1,DemCL
S1,4,subject,0,DemCL
S2,4,subject,1,DemCL
S3,4,subject,1,DemCL
S4,4,subject,1,DemCL
O1,4,object,0,DemCL
O2,4,object,1,DemCL
O3,4,object,0,DemCL
O4,4,object,0,DemCL
S1,5,subject,1,DemCL
S2,5,subject,0,DemCL
S3,5,subject,1,DemCL
S4,5,subject,0,DemCL
O1,5,object,1,DemCL
O2,5,object,1,DemCL
O3,5,object,1,DemCL
O4,5,object,1,DemCL
S1,6,subject,0,DemCL
S2,6,subject,1,DemCL
S3,6,subject,1,DemCL
S4,6,subject,1,DemCL
O1,6,object,1,DemCL
O2,6,object,1,DemCL
O3,6,object,1,DemCL
O4,6,object,1,DemCL
S1,7,subject,0,DemCL
S2,7,subject,0,DemCL
S3,7,subject,0,DemCL
S4,7,subject,1,DemCL
O1,7,object,1,DemCL
O2,7,object,1,DemCL
O3,7,object,1,DemCL
O4,7,object,1,DemCL
S1,8,subject,0,DemCL
S2,8,subject,1,DemCL
S3,8,subject,1,DemCL
S4,8,subject,1,DemCL
O1,8,object,0,DemCL
O2,8,object,0,DemCL
O3,8,object,0,DemCL
O4,8,object,1,DemCL
S1,9,subject,0,DemCL
S2,9,subject,1,DemCL
S3,9,subject,1,DemCL
S4,9,subject,1,DemCL
O1,9,object,1,DemCL
O2,9,object,1,DemCL
O3,9,object,1,DemCL
O4,9,object,0,DemCL
S1,11,subject,1,DemCL
S2,11,subject,1,DemCL
S3,11,subject,1,DemCL
S4,11,subject,1,DemCL
O1,11,object,0,DemCL
O2,11,object,1,DemCL
O3,11,object,1,DemCL
O4,11,object,0,DemCL
S1,12,subject,1,DemCL
S2,12,subject,1,DemCL
S3,12,subject,1,DemCL
S4,12,subject,1,DemCL
O1,12,object,0,DemCL
O2,12,object,1,DemCL
O3,12,object,0,DemCL
O4,12,object,0,DemCL
S1,13,subject,1,DemCL
S2,13,subject,0,DemCL
S3,13,subject,1,DemCL
S4,13,subject,1,DemCL
O1,13,object,0,DemCL
O2,13,object,0,DemCL
O3,13,object,0,DemCL
O4,13,object,1,DemCL
S1,14,subject,0,DemCL
S2,14,subject,1,DemCL
S3,14,subject,1,DemCL
S4,14,subject,1,DemCL
O1,14,object,1,DemCL
O2,14,object,0,DemCL
O3,14,object,1,DemCL
O4,14,object,0,DemCL
S1,15,subject,1,DemCL
S2,15,subject,1,DemCL
S3,15,subject,1,DemCL
S4,15,subject,1,DemCL
O1,15,object,0,DemCL
O2,15,object,1,DemCL
O3,15,object,0,DemCL
O4,15,object,0,DemCL
S1,16,subject,1,DemCL
S2,16,subject,1,DemCL
S3,16,subject,1,DemCL
S4,16,subject,1,DemCL
O1,16,object,0,DemCL
O2,16,object,1,DemCL
O3,16,object,1,DemCL
O4,16,object,1,DemCL
S1,17,subject,1,DemCL
S2,17,subject,1,DemCL
S3,17,subject,1,DemCL
S4,17,subject,1,DemCL
O1,17,object,0,DemCL
O2,17,object,1,DemCL
O3,17,object,0,DemCL
O4,17,object,0,DemCL
S1,18,subject,0,DemCL
S2,18,subject,0,DemCL
S3,18,subject,0,DemCL
S4,18,subject,1,DemCL
O1,18,object,1,DemCL
O2,18,object,1,DemCL
O3,18,object,1,DemCL
O4,18,object,1,DemCL
S1,19,subject,1,DemCL
S2,19,subject,1,DemCL
S3,19,subject,1,DemCL
S4,19,subject,1,DemCL
O1,19,object,1,DemCL
O2,19,object,1,DemCL
O3,19,object,0,DemCL
O4,19,object,1,DemCL
S1,20,subject,1,DemCL
S2,20,subject,1,DemCL
S3,20,subject,0,DemCL
S4,20,subject,0,DemCL
O1,20,object,1,DemCL
O2,20,object,1,DemCL
O3,20,object,0,DemCL
O4,20,object,0,DemCL
S1,21,subject,1,DemCL
S2,21,subject,1,DemCL
S3,21,subject,0,DemCL
S4,21,subject,1,DemCL
O1,21,object,0,DemCL
O2,21,object,1,DemCL
O3,21,object,1,DemCL
O4,21,object,0,DemCL
S1,22,subject,1,DemCL
S2,22,subject,1,DemCL
S3,22,subject,1,DemCL
S4,22,subject,1,DemCL
O1,22,object,1,DemCL
O2,22,object,1,DemCL
O3,22,object,0,DemCL
O4,22,object,1,DemCL
S1,23,subject,0,DemCL
S2,23,subject,0,DemCL
S3,23,subject,1,DemCL
S4,23,subject,1,DemCL
O1,23,object,1,DemCL
O2,23,object,1,DemCL
O3,23,object,0,DemCL
O4,23,object,1,DemCL
S5,24,subject,1,bare 
S6,24,subject,1,bare 
S7,24,subject,1,bare 
S8,24,subject,1,bare 
O5,24,object,0,bare 
O6,24,object,1,bare 
O7,24,object,0,bare 
O8,24,object,1,bare 
S5,25,subject,1,bare 
S6,25,subject,1,bare 
S7,25,subject,0,bare 
S8,25,subject,1,bare 
O5,25,object,1,bare 
O6,25,object,0,bare 
O7,25,object,1,bare 
O8,25,object,0,bare 
S5,26,subject,0,bare 
S6,26,subject,0,bare 
S7,26,subject,1,bare 
S8,26,subject,0,bare 
O5,26,object,1,bare 
O6,26,object,0,bare 
O7,26,object,1,bare 
O8,26,object,1,bare 
S5,27,subject,0,bare 
S6,27,subject,0,bare 
S7,27,subject,1,bare 
S8,27,subject,1,bare 
O5,27,object,1,bare 
O6,27,object,1,bare 
O7,27,object,0,bare 
O8,27,object,0,bare 
S5,28,subject,0,bare 
S6,28,subject,1,bare 
S7,28,subject,1,bare 
S8,28,subject,0,bare 
O5,28,object,1,bare 
O6,28,object,1,bare 
O7,28,object,1,bare 
O8,28,object,0,bare 
S5,29,subject,1,bare 
S6,29,subject,1,bare 
S7,29,subject,0,bare 
S8,29,subject,0,bare 
O5,29,object,1,bare 
O6,29,object,1,bare 
O7,29,object,1,bare 
O8,29,object,1,bare 
S5,30,subject,0,bare 
S6,30,subject,1,bare 
S7,30,subject,1,bare 
S8,30,subject,1,bare 
O5,30,object,0,bare 
O6,30,object,1,bare 
O7,30,object,1,bare 
O8,30,object,1,bare 
S5,31,subject,1,bare 
S6,31,subject,0,bare 
S7,31,subject,1,bare 
S8,31,subject,1,bare 
O5,31,object,1,bare 
O6,31,object,1,bare 
O7,31,object,1,bare 
O8,31,object,1,bare 
S5,32,subject,1,bare 
S6,32,subject,0,bare 
S7,32,subject,1,bare 
S8,32,subject,1,bare 
O5,32,object,1,bare 
O6,32,object,1,bare 
O7,32,object,0,bare 
O8,32,object,0,bare 
S5,33,subject,0,bare 
S6,33,subject,1,bare 
S7,33,subject,1,bare 
S8,33,subject,1,bare 
O5,33,object,1,bare 
O6,33,object,0,bare 
O7,33,object,0,bare 
O8,33,object,1,bare 
S5,34,subject,0,bare 
S6,34,subject,1,bare 
S7,34,subject,1,bare 
S8,34,subject,1,bare 
O5,34,object,1,bare 
O6,34,object,1,bare 
O7,34,object,1,bare 
O8,34,object,1,bare 
S5,35,subject,1,bare 
S6,35,subject,1,bare 
S7,35,subject,1,bare 
S8,35,subject,1,bare 
O5,35,object,0,bare 
O6,35,object,0,bare 
O7,35,object,0,bare 
O8,35,object,0,bare 
S5,36,subject,0,bare 
S6,36,subject,1,bare 
S7,36,subject,1,bare 
S8,36,subject,1,bare 
O5,36,object,0,bare 
O6,36,object,1,bare 
O7,36,object,0,bare 
O8,36,object,1,bare 
S5,37,subject,1,bare 
S6,37,subject,0,bare 
S7,37,subject,0,bare 
S8,37,subject,1,bare 
O5,37,object,0,bare 
O6,37,object,1,bare 
O7,37,object,0,bare 
O8,37,object,1,bare 
S5,38,subject,1,bare 
S6,38,subject,1,bare 
S7,38,subject,1,bare 
S8,38,subject,1,bare 
O5,38,object,0,bare 
O6,38,object,1,bare 
O7,38,object,1,bare 
O8,38,object,1,bare 
S5,39,subject,1,bare 
S6,39,subject,1,bare 
S7,39,subject,0,bare 
S8,39,subject,1,bare 
O5,39,object,1,bare 
O6,39,object,0,bare 
O7,39,object,1,bare 
O8,39,object,0,bare 
S5,40,subject,1,bare 
S6,40,subject,1,bare 
S7,40,subject,1,bare 
S8,40,subject,1,bare 
O5,40,object,0,bare 
O6,40,object,0,bare 
O7,40,object,0,bare 
O8,40,object,0,bare 
S5,41,subject,0,bare 
S6,41,subject,0,bare 
S7,41,subject,0,bare 
S8,41,subject,1,bare 
O5,41,object,1,bare 
O6,41,object,1,bare 
O7,41,object,0,bare 
O8,41,object,1,bare 
S5,42,subject,1,bare 
S6,42,subject,1,bare 
S7,42,subject,0,bare 
S8,42,subject,1,bare 
O5,42,object,0,bare 
O6,42,object,1,bare 
O7,42,object,1,bare 
O8,42,object,1,bare 
S5,44,subject,0,bare 
S6,44,subject,1,bare 
S7,44,subject,0,bare 
S8,44,subject,1,bare 
O5,44,object,1,bare 
O6,44,object,0,bare 
O7,44,object,1,bare 
O8,44,object,0,bare 
S5,45,subject,1,bare 
S6,45,subject,1,bare 
S7,45,subject,1,bare 
S8,45,subject,0,bare 
O5,45,object,1,bare 
O6,45,object,1,bare 
O7,45,object,0,bare 
O8,45,object,1,bare 
S5,46,subject,0,bare 
S6,46,subject,1,bare 
S7,46,subject,1,bare 
S8,46,subject,1,bare 
O5,46,object,1,bare 
O6,46,object,1,bare 
O7,46,object,1,bare 
O8,46,object,0,bare 
